OrderID,ItemID,Quantity,RequestedBy,Status
26,101,1,alice_sim8,REJECTED
25,101,1,alice_sim10,REJECTED
24,101,1,alice_sim4,REJECTED
23,101,1,alice_sim5,REJECTED
22,101,1,alice_sim9,REJECTED
21,101,1,alice_sim6,REJECTED
20,101,1,alice_sim2,FULFILLED
19,101,1,alice_sim1,FULFILLED
18,101,1,alice_sim3,FULFILLED
17,101,1,alice_sim7,FULFILLED
16,101,1,alice,FULFILLED
15,101,10,alice,FULFILLED
14,101,1,alice,FULFILLED
13,101,1,alice,FULFILLED
12,101,1,alice,FULFILLED
11,101,1,alice,FULFILLED
10,101,1,alice,FULFILLED
9,101,1,alice,FULFILLED
8,101,1,alice,FULFILLED
7,101,1,alice,FULFILLED
6,101,1,alice,FULFILLED
5,101,1,alice,FULFILLED
4,101,1,alice,FULFILLED
3,101,1,alice,FULFILLED
2,101,1,alice,FULFILLED
1,101,5,alice,FULFILLED
